,Student ID,# Logins,# Content Reads,# Forum Reads,# Forum Posts,# Quiz Reviews before submission,Assignment 1 lateness indicator,Assignment 2 lateness indicator,Assignment 3 lateness indicator,Assignment 1 duration to submit (in hours),Assignment 2 duration to submit (in hours),Assignment 3 duration to submit (in hours),Average time to submit assignment (in hours),Engagement Level,Quiz01 [10],Assignment01 [8],Midterm Exam [20],Assignment02 [12],Assignment03 [25],Final Exam [35],Course Grade,Total [100],Class
59,student000059,32,120,0,0,2,0,1,0,343.7333333,296.25,274.5666667,304.85,L,70,80,75,59,81,0,56,56,W
60,student000060,84,412,58,0,2,0,0,0,185.9,93.33333333,121.1,133.4444444,H,70,72,78,91,84,69,84,84,G
61,student000061,92,143,0,0,2,0,0,0,137.8,45.65,78.5,87.31666667,H,70,78,75,81,79,70,82,82,G
62,student000062,33,211,0,0,1,0,0,0,139.58333330000002,51.13333333,212.7333333,134.4833333,H,80,56,68,59,65,69,73,74,G
63,student000063,102,410,0,0,1,0,0,0,156.75,41.33333333,82.86666667,93.65,H,80,71,90,83,82,76,89,89,G
64,student000064,68,261,2,2,2,0,0,0,160.7666667,68.13333333,91.1,106.66666670000001,H,90,91,78,84,76,67,84,84,G
65,student000065,31,87,0,0,1,0,0,0,150.0333333,56.63333333,80.75,95.80555556,H,85,65,70,71,69,54,72,72,G
66,student000066,29,419,9,0,3,0,0,0,311.7333333,219.2,243.58333330000002,258.1722222,L,70,71,63,79,82,73,81,81,G
67,student000067,87,208,0,0,3,0,0,0,175.55,92.06666667,117.88333329999999,128.5,H,90,82,85,88,86,60,86,86,G
68,student000068,177,1007,0,0,0,0,0,0,154.7333333,62.13333333,86.51666667,101.12777779999999,H,70,89,75,84,90,51,80,80,G
69,student000069,54,170,0,0,5,0,0,0,266.7,192.91666669999998,207.83333330000002,222.4833333,L,90,81,78,94,85,64,86,86,G
70,student000070,51,238,0,0,2,0,0,0,182.6166667,98.93333333,124.8,135.45,H,80,88,88,81,90,61,86,86,G
71,student000071,55,339,0,0,1,0,0,0,138.43333330000002,44.86666667,62.55,81.95,H,75,69,73,72,70,53,72,72,G
72,student000072,46,92,2,2,1,0,0,0,122.16666670000001,30.36666667,44.08333333,65.53888889,H,80,84,83,87,96,60,87,87,G
73,student000073,94,173,0,0,3,0,0,0,149.06666669999998,55.15,79.05,94.42222222,H,85,88,75,86,91,69,88,88,G
74,student000074,94,356,0,0,2,0,0,0,325.2666667,235.5,260.21666669999996,273.6611111,L,85,83,78,82,90,67,86,87,G
75,student000075,32,201,0,0,1,0,0,0,325.8833333,234.2,257.5833333,272.55555560000005,L,70,84,65,78,83,69,81,81,G
76,student000076,63,237,0,0,0,0,0,0,172.5166667,79.53333333,104.45,118.83333329999999,H,65,98,88,91,89,60,86,86,G
77,student000077,113,385,0,0,4,0,0,0,188.0166667,115.75,117.3,140.35555559999997,H,75,61,68,70,80,53,73,73,G
78,student000078,67,127,0,0,1,0,0,0,173.66666669999998,80.9,272.78333330000004,175.7833333,H,75,89,95,84,90,57,86,86,G
79,student000079,118,396,0,0,0,0,0,0,182.33333330000002,184.6,207.41666669999998,191.45,L,75,73,70,81,90,71,84,84,G
80,student000080,78,217,0,0,1,0,0,0,316.5,272.5166667,245.9666667,278.3277778,L,90,77,78,89,97,60,87,87,G
81,student000081,21,34,0,0,0,1,1,1,558.0,296.0,632.0,495.33333330000005,L,0,0,73,0,0,0,15,15,W
82,student000082,56,131,0,0,5,0,0,0,306.0833333,186.2166667,212.0166667,234.77222220000002,L,75,57,48,68,79,53,68,68,G
83,student000083,62,232,0,0,1,0,0,0,169.9,79.33333333,103.58333329999999,117.60555559999999,H,75,80,65,77,84,53,76,76,G
84,student000084,68,213,0,0,0,0,0,0,303.71666669999996,191.43333330000002,210.1333333,235.09444440000001,L,85,81,63,75,77,49,73,73,G
85,student000085,56,160,2,0,3,0,0,0,170.5,58.61666667,90.5,106.5388889,H,65,74,85,73,90,76,87,87,G
86,student000086,78,202,0,0,3,0,0,0,111.53333329999998,31.21666667,52.45,65.06666667,H,80,81,80,81,77,79,87,87,G
87,student000087,96,332,0,0,8,0,0,0,107.61666670000001,66.43333333,88.6,87.55,H,85,73,80,73,83,80,88,88,G
88,student000088,71,279,0,0,4,0,0,0,325.3833333,236.55,260.65,274.19444439999995,L,70,66,73,78,74,61,76,76,G
89,student000089,59,254,1,1,1,1,1,1,558.0,296.0,632.0,495.33333330000005,L,65,0,93,0,0,46,41,41,W
90,student000090,92,232,0,0,0,0,0,0,159.2,41.33333333,88.61666667,96.38333333,H,80,79,93,82,81,74,89,89,G
91,student000091,98,347,0,0,1,0,0,0,314.5,221.8833333,244.85,260.4111111,L,85,91,73,88,88,47,79,79,G
92,student000092,44,223,0,0,0,0,0,0,222.0333333,103.5166667,128.0833333,151.2111111,H,65,15,73,39,60,46,58,58,W
93,student000093,74,197,0,0,7,0,0,0,194.3833333,101.1,114.51666670000002,136.66666669999998,H,90,72,93,83,75,70,86,87,G
94,student000094,72,217,0,0,0,0,0,0,160.0,65.8,91.4,105.73333329999998,H,95,89,88,85,80,70,89,89,G
95,student000095,28,142,0,0,2,0,0,0,133.3166667,43.88333333,74.2,83.8,H,85,74,63,85,72,47,72,72,G
96,student000096,70,222,0,0,0,0,0,0,313.0666667,223.6333333,246.81666669999998,261.1722222,L,80,79,55,82,94,43,74,74,G
97,student000097,99,507,0,0,5,0,0,0,305.6666667,198.1,220.4666667,241.4111111,L,90,86,83,80,81,64,85,85,G
98,student000098,62,190,0,0,1,0,0,0,304.7333333,187.43333330000002,210.3,234.15555559999999,L,70,82,80,97,89,66,86,87,G
99,student000099,118,432,48,0,12,0,0,0,152.5333333,60.93333333,102.8833333,105.45,H,100,82,73,62,88,63,82,83,G
100,student000100,27,175,0,0,0,1,0,0,558.0,266.8,254.9833333,359.9277778,L,0,0,0,55,79,49,43,44,W
101,student000101,61,183,0,0,1,0,0,0,145.9,56.41666667,103.35,101.88888890000001,H,70,76,85,84,72,77,85,85,G
102,student000102,88,316,0,0,8,0,0,0,194.6333333,207.95,230.25,210.9444444,L,70,88,93,94,86,89,96,97,G
103,student000103,102,397,1,1,1,0,0,0,308.5,197.9,220.08333330000002,242.1611111,L,85,90,80,91,79,66,85,85,G
104,student000104,82,139,0,0,0,0,0,0,123.15,29.25,52.33333333,68.24444444,H,70,86,88,86,76,76,87,87,G
105,student000105,65,413,0,0,0,0,0,0,305.45,209.56666669999998,233.65,249.5555556,L,75,57,93,72,75,79,85,86,G
106,student000106,66,361,0,0,2,0,0,0,296.4,209.3666667,237.6166667,247.7944444,L,70,79,85,74,88,63,83,83,G
107,student000107,89,255,0,0,0,0,0,0,327.96666669999996,240.4833333,263.3666667,277.2722222,L,70,99,73,91,92,60,84,84,G
108,student000108,78,432,0,0,1,0,0,0,159.93333330000002,74.46666667,100.0666667,111.48888889999999,H,70,71,80,59,82,79,84,84,G
109,student000109,63,266,0,0,3,0,0,0,168.1166667,75.2,98.11666667,113.8111111,H,80,59,63,68,73,63,74,74,G
110,student000110,118,325,0,0,6,0,0,0,297.95,224.4833333,249.3,257.2444444,L,80,92,88,89,89,60,87,87,G
111,student000111,43,110,0,0,0,0,0,0,135.33333330000002,69.45,94.91666667,99.9,H,75,66,70,74,81,80,84,84,G
112,student000112,96,191,1,2,1,0,0,0,134.9,47.2,71.61666667,84.57222222,H,80,78,70,77,80,63,79,80,G
113,student000113,21,80,0,0,2,1,1,1,558.0,296.0,632.0,495.33333330000005,L,70,0,55,0,0,0,18,18,W
114,student000114,81,319,0,0,1,0,0,0,255.41666669999998,197.58333330000002,204.35,219.1166667,L,80,91,80,94,94,87,97,97,G
115,student000115,54,426,0,0,2,0,0,0,306.0833333,193.9833333,219.7666667,239.9444444,L,80,76,80,83,93,49,80,80,G
116,student000116,65,250,0,0,0,0,0,0,159.55,68.38333333,89.95,105.9611111,H,95,73,78,68,73,73,83,83,G
117,student000117,73,344,0,0,0,0,0,0,195.1,89.1,113.73333329999998,132.64444440000003,H,80,81,85,83,88,81,92,92,G
118,student000118,113,511,0,0,4,0,0,0,304.85,199.66666669999998,221.35,241.9555556,L,70,95,68,74,89,69,83,83,G
119,student000119,97,342,0,0,2,0,0,0,85.55,40.13333333,60.91666667,62.2,H,90,69,53,81,86,56,76,76,G
120,student000120,68,265,1,0,0,0,0,0,145.06666669999998,51.68333333,75.58333333,90.77777778,H,75,63,63,76,76,41,67,68,G
121,student000121,132,260,5,1,2,0,0,0,104.2666667,29.56666667,43.78333333,59.20555556,H,85,91,90,83,91,84,96,96,G
122,student000122,61,151,0,0,4,0,0,0,192.3833333,101.7666667,125.4,139.85,H,80,78,80,82,85,63,83,83,G
123,student000123,55,391,0,0,1,0,0,0,303.8333333,191.5333333,260.0833333,251.81666669999998,L,75,88,63,83,76,60,77,77,G
124,student000124,100,270,58,2,3,0,0,0,127.5,37.1,64.56666667,76.38888889,H,80,73,58,82,93,53,77,77,G
125,student000125,76,340,0,0,4,0,0,0,187.4,91.63333333,120.9,133.3111111,H,60,68,73,88,84,49,74,75,G
126,student000126,55,184,0,0,5,0,0,0,195.5333333,103.15,120.75,139.8111111,H,75,69,73,73,65,51,71,70,G
127,student000127,144,567,4,5,9,0,0,0,244.3,111.71666670000002,206.6333333,187.55,H,75,98,95,96,96,91,100,102,G
128,student000128,100,195,4,4,7,0,0,0,292.45,211.7166667,243.5333333,249.2333333,L,70,91,75,81,73,64,80,80,G
129,student000129,85,413,0,0,3,0,0,0,181.7166667,173.2,114.5,156.47222219999998,H,65,88,88,91,93,84,95,95,G
130,student000130,75,210,0,0,1,0,0,0,301.4833333,227.0333333,259.35,262.6222222,L,75,91,80,78,80,59,81,81,G
131,student000131,41,234,0,0,2,0,0,0,317.7,224.0166667,248.2,263.3055556,L,70,48,48,70,66,43,60,60,G
132,student000132,91,339,0,0,0,0,0,0,136.83333330000002,51.13333333,75.38333333,87.78333333,H,90,66,68,66,66,61,74,74,G
133,student000133,85,146,0,0,1,0,0,0,146.85,54.03333333,69.05,89.97777778,H,85,85,88,83,78,66,85,85,G
134,student000134,147,358,11,2,4,0,0,0,182.45,82.31666667,112.65,125.80555559999999,H,100,89,93,92,92,76,96,96,G
135,student000135,107,344,0,0,1,0,0,0,135.4666667,44.3,67.86666667,82.54444444,H,85,68,73,78,75,71,82,82,G
136,student000136,74,271,7,0,1,0,0,0,268.0666667,194.1166667,156.2833333,206.15555559999999,L,80,84,60,94,87,60,81,81,G
137,student000137,40,164,0,0,4,0,0,0,297.53333330000004,185.6166667,211.08333330000002,231.4111111,L,90,82,60,79,70,53,73,73,G
138,student000138,65,251,0,0,1,0,0,0,299.71666669999996,210.35,236.8666667,248.97777779999998,L,75,75,58,74,73,46,68,68,G
139,student000139,40,249,0,0,5,0,0,0,129.1666667,44.88333333,77.06666667,83.70555556,H,85,60,85,59,69,67,78,78,G
140,student000140,71,230,0,0,2,0,0,0,301.3166667,231.3,258.95,263.8555556,L,65,86,80,83,87,59,82,82,G
141,student000141,61,231,0,0,1,0,0,0,139.2166667,47.58333333,72.78333333,86.52777778,H,70,76,73,86,79,60,79,79,G
142,student000142,94,451,0,0,4,0,0,0,305.1666667,212.05,245.9833333,254.4,L,70,80,80,78,93,83,91,91,G
143,student000143,134,342,0,0,0,0,0,0,320.71666669999996,234.0,257.6,270.7722222,L,80,86,90,91,83,76,91,91,G
144,student000144,36,149,0,0,2,0,0,0,322.1,231.06666669999998,253.43333330000002,268.8666667,L,70,65,70,87,85,49,75,75,G
145,student000145,45,262,0,0,2,0,0,0,301.8,200.6166667,225.25,242.5555556,L,70,92,80,89,77,63,82,82,G
146,student000146,116,216,0,0,2,0,0,0,121.58333329999999,30.61666667,56.73333333,69.64444444,H,80,63,90,73,72,71,83,83,G
147,student000147,69,211,0,0,0,0,0,0,122.78333329999998,32.3,52.9,69.32777778,H,80,80,78,69,81,81,87,87,G
148,student000148,60,313,0,0,0,0,0,0,303.55,215.16666669999998,235.06666669999998,251.2611111,L,85,80,78,88,98,64,88,88,G
149,student000149,60,216,0,0,8,0,0,0,130.15,44.98333333,79.76666667,84.96666667,H,85,75,68,70,49,51,67,67,G
150,student000150,18,140,0,0,2,1,0,1,558.0,194.9,632.0,461.63333330000006,L,75,0,58,20,0,47,38,38,W
151,student000151,64,177,0,0,0,0,0,0,185.43333330000002,91.43333333,113.08333329999999,129.9833333,H,70,72,65,70,83,44,70,70,G
152,student000152,150,280,0,0,6,0,0,0,306.4833333,200.5166667,223.93333330000002,243.64444440000003,L,70,97,93,92,89,81,95,95,G
153,student000153,35,78,0,0,2,0,0,0,324.1,232.65,348.71666669999996,301.8222222,L,40,40,53,72,67,39,57,57,W
154,student000154,150,216,33,0,1,0,0,0,171.41666669999998,87.4,115.21666670000002,124.67777779999999,H,95,90,73,84,90,74,90,90,G
155,student000155,55,282,0,0,0,0,0,0,173.7,88.06666667,114.85,125.5388889,H,75,84,78,88,84,69,85,86,G
156,student000156,56,142,0,0,6,0,0,0,293.1333333,210.8666667,235.41666669999998,246.4722222,L,75,82,83,87,100,76,92,93,G
157,student000157,57,166,0,0,1,0,0,0,191.1,98.63333333,134.4,141.37777780000002,H,85,51,43,71,65,40,60,60,G
158,student000158,113,288,0,0,3,0,0,0,308.6,215.93333330000002,243.06666669999998,255.8666667,L,85,83,78,87,92,64,87,87,G
159,student000159,78,338,0,0,8,0,0,0,329.45,247.35,271.2333333,282.6777778,L,80,60,75,66,70,51,71,71,G
160,student000160,53,143,0,0,3,0,0,0,309.5,198.41666669999998,221.9833333,243.3,L,85,80,85,69,85,70,86,86,G
161,student000161,62,265,0,0,0,0,0,0,172.08333330000002,64.13333333,104.7833333,113.66666670000001,H,85,40,63,37,32,49,54,54,W
162,student000162,74,454,0,0,0,0,0,0,312.4166667,223.0166667,243.05,259.4944444,L,75,64,73,51,68,60,71,71,G
163,student000163,67,347,0,0,2,0,0,0,302.4166667,195.81666669999998,219.66666669999998,239.3,L,80,91,88,80,73,64,83,83,G
164,student000164,58,223,0,0,7,0,0,0,133.9833333,42.06666667,74.75,83.6,H,85,83,80,81,78,54,79,79,G
165,student000165,101,228,0,0,3,0,0,0,170.7833333,78.58333333,225.85,158.40555559999999,H,100,95,93,91,93,76,97,97,G
166,student000166,61,201,0,0,3,0,0,0,308.4833333,189.7833333,212.1333333,236.8,L,75,87,83,86,87,70,87,88,G
167,student000167,72,430,11,0,0,0,0,0,269.0833333,183.8,197.6333333,216.8388889,L,80,71,73,82,82,66,82,82,G
168,student000168,78,317,0,0,2,0,0,0,304.6166667,199.66666669999998,223.85,242.7111111,L,75,85,80,73,78,74,84,84,G
169,student000169,58,159,0,0,1,0,0,0,146.33333330000002,55.7,79.13333333,93.72222222,H,80,93,90,83,93,79,94,94,G
170,student000170,139,246,6,6,1,0,0,0,157.91666669999998,66.48333333,87.73333333,104.0444444,H,90,75,83,88,91,69,89,89,G
171,student000171,97,244,0,0,1,0,0,0,178.81666669999998,88.33333333,122.48333329999998,129.8777778,H,80,83,88,89,82,84,93,93,G
172,student000172,43,224,0,0,1,0,0,0,275.9333333,213.5166667,240.0166667,243.15555559999999,L,75,79,78,79,73,57,77,77,G
173,student000173,158,190,0,0,1,0,0,0,147.2166667,54.41666667,78.4,93.34444444,H,80,89,85,88,89,79,92,93,G
174,student000174,107,295,2,2,3,0,0,0,125.65,52.08333333,79.76666667,85.83333333,H,85,76,90,64,82,86,91,91,G
175,student000175,103,336,0,0,1,0,0,0,301.4833333,212.8666667,238.8,251.05,L,75,64,65,61,81,29,63,63,G
176,student000176,30,127,0,0,0,0,0,0,177.8833333,86.55,109.5,124.64444440000001,H,75,71,75,70,79,66,79,79,G
177,student000177,87,374,0,0,1,0,0,0,161.85,73.58333333,99.26666667,111.56666670000001,H,80,65,78,79,83,51,77,77,G
178,student000178,72,177,1,0,3,0,1,0,136.2,296.0,225.1333333,219.11111110000002,L,90,64,73,0,61,31,55,55,W
179,student000179,68,225,0,0,5,0,0,0,170.1333333,58.91666667,84.11666667,104.38888890000001,H,75,81,78,58,80,53,75,75,G
180,student000180,49,178,0,0,0,0,0,0,139.9833333,50.55,65.91666667,85.48333333,H,80,83,78,87,90,71,88,88,G
181,student000181,75,258,3,0,3,0,0,0,302.0166667,220.2333333,236.85,253.0333333,L,70,78,85,93,97,73,91,91,G
182,student000182,138,279,0,0,2,0,0,0,303.6666667,190.45,213.55,235.88888889999998,L,75,77,73,80,79,70,82,82,G
183,student000183,2,442,0,0,2,0,0,0,304.9,211.65,234.25,250.2666667,L,80,61,83,83,87,83,90,90,G
184,student000184,59,295,2,2,0,0,0,0,322.4,238.25,263.8166667,274.8222222,L,75,98,88,82,78,71,87,87,G
185,student000185,78,226,0,0,8,0,0,0,131.15,41.76666667,78.73333333,83.88333333,H,100,93,98,91,88,91,100,102,G
186,student000186,92,164,3,3,4,0,0,0,190.9666667,100.4,147.05,146.13888889999998,H,100,88,85,83,86,0,66,66,G
187,student000187,131,322,0,0,2,0,0,0,107.5,84.66666667,112.76666670000002,101.6444444,H,75,72,73,63,71,59,73,74,G
188,student000188,52,192,0,0,4,0,0,0,313.03333330000004,200.2,222.3,245.1777778,L,80,91,83,78,78,66,84,84,G
189,student000189,80,110,0,0,1,0,0,0,170.1,45.66666667,271.96666669999996,162.5777778,H,70,75,90,78,80,80,88,88,G
190,student000190,59,167,0,0,0,0,0,0,385.95,270.9166667,268.5666667,308.4777778,L,80,49,63,62,66,47,65,65,G
191,student000191,109,177,0,0,3,0,0,0,116.03333329999998,46.43333333,24.23333333,62.23333333,H,70,96,88,84,92,73,91,91,G
192,student000192,67,154,0,0,1,0,0,0,145.85,55.43333333,79.55,93.61111111,H,80,83,88,84,75,69,85,85,G
193,student000193,55,184,0,0,0,0,0,0,136.83333330000002,45.1,68.76666667,83.56666667,H,80,69,85,74,86,53,79,79,G
194,student000194,103,260,0,0,1,0,0,0,157.8833333,74.9,222.7333333,151.8388889,H,70,56,70,69,70,44,67,67,G
195,student000195,89,279,0,0,4,0,0,0,136.75,48.9,69.1,84.91666667,H,90,79,88,76,85,56,83,83,G
196,student000196,79,249,0,0,0,1,0,0,558.0,225.08333330000002,249.31666669999998,344.1333333,L,95,0,90,82,79,70,82,82,G
197,student000197,75,408,0,0,1,0,0,0,161.1,72.36666667,99.76666667,111.07777779999999,H,70,76,83,88,87,77,89,89,G
198,student000198,85,405,0,0,3,0,0,0,157.0333333,74.76666667,98.96666667,110.25555559999998,H,75,69,75,73,76,56,75,75,G
199,student000199,109,368,0,0,2,0,0,0,329.1333333,237.08333330000002,256.1166667,274.1111111,L,70,87,78,74,84,40,73,73,G
200,student000200,48,306,0,0,1,0,0,0,136.2,44.06666667,74.95,85.07222222,H,70,66,88,75,81,71,84,84,G
201,student000201,117,344,0,0,1,0,0,0,84.06666667,6.2,18.71666667,36.32777778,H,95,93,95,91,90,84,99,99,G
202,student000202,63,351,0,0,2,0,0,0,309.5833333,196.9833333,218.65,241.7388889,L,85,37,73,53,71,66,73,73,G
203,student000203,85,265,0,0,0,0,0,0,312.95,212.06666669999998,235.91666669999998,253.64444440000003,L,95,56,70,87,80,70,83,83,G
204,student000204,150,675,58,0,3,0,0,0,294.9333333,181.0166667,202.55,226.16666669999998,L,75,89,80,84,90,74,89,89,G
205,student000205,76,463,0,0,2,0,0,0,319.85,246.5166667,272.0666667,279.4777778,L,80,92,75,91,85,61,84,84,G
206,student000206,48,320,1,0,3,0,0,0,145.93333330000002,52.88333333,79.15,92.65555556,H,80,89,75,89,85,47,79,79,G
207,student000207,62,133,6,2,1,0,0,0,150.6,88.86666667,114.01666670000002,117.82777779999999,H,95,75,70,84,77,69,83,83,G
